,Date,Match Number,Season,Gender,Innings,Toss Winner,Toss Decision,Match Winner,Venue,Player Team,Team Against,target,Player Name,Number of Runs Scored,Number of Balls Faced,4s,6s,Strike Rate,Wicket Type,Number of Balls Bowled,Number of Runs Conceded,Economy,Catches,Run Outs,Wicket Taken,team_scores,Player Total Runs,Player Total Batting Average,Player Strike Rate,Batsman Prob Score,Player Total Balls Bowled,Bowler Total Runs Conceded,Bowler Total Wickets,Player Bowling Average,Bowler Aggregated Economy,Bowler Prob Score,Team Avg Score,Team Avg Economy,Player Team Win %,Player Team Win Count,Team Matches Played,Team Scoring Prob Score,Team Economy Prob Score,Team Winning % Prob in Season,Player Team Probability Score
0,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,JJ Roy,20,12,4,0,166.67,caught,0,0,0.0,2,0,0,145.0,391,19.55,132.9931973,0.629084347,0,0,0,0.0,,,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
1,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,SM Curran,6,3,0,1,200.0,bowled,20,28,7.0,1,0,2,145.0,317,18.64705882,130.4526749,0.602333495,320,501,16,31.3125,9.39,0.532632109,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
2,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,SP Narine,2,5,0,0,40.0,lbw,20,23,5.75,0,0,1,145.0,143,8.9375,138.8349515,0.591884697,330,387,24,16.125,7.04,0.807157479,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
3,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,WG Jacks,15,9,1,1,166.67,caught,5,8,8.0,0,0,0,145.0,618,29.42857143,167.027027,0.889254765,75,85,6,14.16666667,6.8,0.832963403,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
4,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,SW Billings,49,30,4,2,163.33,caught,0,0,0.0,1,0,0,145.0,355,16.9047619,142.5702811,0.6809717,0,0,0,0.0,,,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
5,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,CA Ingram,17,17,1,0,100.0,caught,0,0,0.0,3,0,0,145.0,120,17.14285714,131.8681319,0.601637064,0,0,0,0.0,,,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
6,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,LJ Evans,0,2,0,0,0.0,caught,0,0,0.0,0,0,0,145.0,408,21.47368421,160.0,0.820652232,0,0,0,0.0,,,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
7,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,TK Curran,29,18,3,1,161.11,not out,20,25,6.25,0,0,1,145.0,335,17.63157895,175.3926702,0.875500345,362,535,20,26.75,8.87,0.621550435,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
8,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,NA Sowter,4,2,1,0,200.0,bowled,15,19,6.33,0,0,2,145.0,21,1.75,175.0,0.794398194,195,295,13,22.69230769,9.08,0.685065146,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
9,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,S Mahmood,1,2,0,0,50.0,not out,5,7,7.0,0,0,0,145.0,9,1.285714286,75.0,0.110931219,120,186,5,37.2,9.3,0.429437153,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
10,2021-07-22,1,2021,male,1,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Oval Invincibles,Manchester Originals,146,RJW Topley,0,0,0,0,0.0,,15,26,8.67,0,0,1,145.0,23,1.4375,209.0909091,0.934325668,319,504,21,24.0,9.48,0.657413852,139.29,8.92,57.14,4,7,0.353744621136436,0.4881839519166011,0.6635287634773033,0.5018191121767801
11,2021-07-22,1,2021,male,2,Manchester Originals,field,Oval Invincibles,"Kennington Oval, London",Manchester Originals,Oval Invincibles,146,PD Salt,4,5,1,0,80.0,caught,0,0,0.0,1,0,0,136.0,667,31.76190476,161.8932039,0.878114846,0,0,0,0.0,,,130.0,8.84,33.33,2,6,0.0889506249621269,0.5567474599752441,0.2314224373232887,0.2923735074202199
