Player Name,Runs,Balls Faced,4s,6s,Matches Played,Gender,Average,Strike Rate,Boundary %
A Campbell,97,131,8,0,8,female,12.125,74.04580152671755,6.106870229007633
A Capsey,380,289,52,7,16,female,23.75,131.4878892733564,20.415224913494807
A Cranstone,18,20,2,0,1,female,18.0,90.0,10.0
A Griffiths,23,28,1,0,13,female,1.7692307692307692,82.14285714285714,3.571428571428571
A Hartley,3,5,0,0,17,female,0.17647058823529413,60.0,0.0
A King,46,40,1,3,13,female,3.5384615384615383,114.99999999999999,10.0
A Lyth,368,233,29,23,13,male,28.307692307692307,157.93991416309012,22.317596566523605
A Shrubsole,55,47,5,2,21,female,2.619047619047619,117.02127659574468,14.893617021276595
A Stonehouse,16,7,3,0,7,female,2.2857142857142856,228.57142857142856,42.857142857142854
A Sutherland,88,73,5,3,6,female,14.666666666666666,120.54794520547945,10.95890410958904
A Wellington,99,79,12,1,20,female,4.95,125.31645569620254,16.455696202531644
A Zampa,26,23,3,0,7,male,3.7142857142857144,113.04347826086956,13.043478260869565
AAP Atkinson,3,4,0,0,5,male,0.6,75.0,0.0
AC Kerr,252,203,30,0,11,female,22.90909090909091,124.13793103448276,14.77832512315271
AD Carr,19,22,2,0,6,female,3.1666666666666665,86.36363636363636,9.090909090909092
AD Hales,532,376,62,18,19,male,28.0,141.48936170212767,21.27659574468085
AD Russell,148,88,9,12,6,male,24.666666666666668,168.1818181818182,23.863636363636363
AE Dyson,0,0,0,0,2,female,0.0,,
AE Jones,462,338,61,3,18,female,25.666666666666668,136.68639053254438,18.93491124260355
AE Satterthwaite,24,34,3,0,4,female,6.0,70.58823529411765,8.823529411764707
AF Milne,32,28,2,1,13,male,2.4615384615384617,114.28571428571428,10.714285714285714
AH Maqsood,5,9,0,0,14,female,0.35714285714285715,55.55555555555556,0.0
AJ Blake,54,39,2,4,3,male,18.0,138.46153846153845,15.384615384615385
AJ Freeborn,152,145,18,0,17,female,8.941176470588236,104.82758620689656,12.413793103448276
AJ Healy,129,85,22,3,6,female,21.5,151.76470588235293,29.411764705882355
AJ Hose,316,205,33,12,15,male,21.066666666666666,154.14634146341464,21.951219512195124
AJ Macleod,33,33,2,0,5,female,6.6,100.0,6.0606060606060606
AJ Turner,137,86,9,6,12,male,11.416666666666666,159.30232558139534,17.441860465116278
AL Davies,357,281,32,6,15,male,23.8,127.04626334519573,13.523131672597867
AM Rossington,460,272,43,25,16,male,28.75,169.11764705882354,25.0
AN Davidson-Richards,192,185,14,2,19,female,10.105263157894736,103.78378378378379,8.64864864864865
AU Rashid,38,40,4,1,17,male,2.235294117647059,95.0,12.5
AZ Monaghan,11,15,1,0,11,female,1.0,73.33333333333333,6.666666666666667
BA Carse,83,66,7,2,12,male,6.916666666666667,125.75757575757575,13.636363636363635
BA Langston,0,1,0,0,5,female,0.0,0.0,0.0
BA Raine,35,28,5,0,8,male,4.375,125.0,17.857142857142858
BA Stokes,10,14,1,0,2,male,5.0,71.42857142857143,7.142857142857142
BAC Howell,183,138,12,6,20,male,9.15,132.6086956521739,13.043478260869565
BAM Heath,191,140,26,5,18,female,10.61111111111111,136.42857142857144,22.142857142857142
BC Cullen,18,14,1,1,7,male,2.5714285714285716,128.57142857142858,14.285714285714285
BF Smith,481,364,64,14,16,female,30.0625,132.14285714285714,21.428571428571427
BGF Green,26,26,1,1,4,male,6.5,100.0,7.6923076923076925
BJ Dwarshuis,0,2,0,0,1,male,0.0,0.0,0.0
BL D'Oliveira,10,22,0,0,2,male,5.0,45.45454545454545,0.0
BL Mooney,205,132,32,1,6,female,34.166666666666664,155.3030303030303,25.0
BM Duckett,588,427,70,8,17,male,34.588235294117645,137.70491803278688,18.26697892271663
BR McDermott,157,118,12,6,5,male,31.4,133.05084745762713,15.254237288135593
BTJ Wheal,0,0,0,0,6,male,0.0,,
C Brewer,0,0,0,0,1,female,0.0,,
C Munro,551,352,46,27,16,male,34.4375,156.5340909090909,20.738636363636363
C Nicholas,5,10,0,0,12,female,0.4166666666666667,50.0,0.0
C Overton,11,13,0,0,8,male,1.375,84.61538461538461,0.0
C Pavely,9,12,0,0,3,female,3.0,75.0,0.0
C de Grandhomme,56,45,3,2,7,male,8.0,124.44444444444444,11.11111111111111
CA Ingram,120,91,9,5,7,male,17.142857142857142,131.86813186813185,15.384615384615385
CA Lynn,150,127,14,5,7,male,21.428571428571427,118.11023622047243,14.960629921259844
CB Cooke,20,21,1,0,4,male,5.0,95.23809523809523,4.761904761904762
CE Dean,99,91,13,0,14,female,7.071428571428571,108.79120879120879,14.285714285714285
CE Rudd,12,11,0,0,16,female,0.75,109.09090909090908,0.0
CF Parkinson,4,7,0,0,8,male,0.5,57.14285714285714,0.0
CG Benjamin,207,169,18,8,18,male,11.5,122.48520710059172,15.384615384615385
CG Harrison,38,34,5,0,8,male,4.75,111.76470588235294,14.705882352941178
CJ Jordan,183,104,11,13,15,male,12.2,175.96153846153845,23.076923076923077
CL Griffith,98,75,8,3,13,female,7.538461538461538,130.66666666666666,14.666666666666666
CL Tryon,112,111,9,1,14,female,8.0,100.9009009009009,9.00900900900901
CM McCarthy,0,0,0,0,2,female,0.0,,
CM Taylor,0,0,0,0,3,female,0.0,,
CN Ackermann,112,99,9,3,8,male,14.0,113.13131313131312,12.121212121212121
CN Miles,1,2,0,0,6,male,0.16666666666666666,50.0,0.0
CP Wood,6,5,1,0,10,male,0.6,120.0,20.0
CR Brathwaite,94,67,4,7,6,male,15.666666666666666,140.2985074626866,16.417910447761194
CR Woakes,20,20,0,1,3,male,6.666666666666667,100.0,5.0
D Gregory,1,1,0,0,5,female,0.2,100.0,0.0
D Moriarty,1,3,0,0,1,male,1.0,33.33333333333333,0.0
D Mullan,9,10,1,0,1,female,9.0,90.0,10.0
D Pretorius,71,39,6,5,5,male,14.2,182.05128205128204,28.205128205128204
D Wiese,233,141,10,18,16,male,14.5625,165.24822695035462,19.858156028368796
D van Niekerk,324,294,41,3,12,female,27.0,110.20408163265304,14.965986394557824
DA Douthwaite,4,10,0,0,1,male,4.0,40.0,0.0
DA Miller,73,80,2,2,7,male,10.428571428571429,91.25,5.0
DA Payne,10,11,0,1,18,male,0.5555555555555556,90.9090909090909,9.090909090909092
DB Sharma,77,68,6,0,8,female,9.625,113.23529411764706,8.823529411764707
DG Bedingham,0,2,0,0,1,male,0.0,0.0,0.0
DJ Bell-Drummond,152,117,14,4,8,male,19.0,129.9145299145299,15.384615384615385
DJ Bravo,27,25,3,0,6,male,4.5,108.0,12.0
DJ Malan,619,431,58,24,18,male,34.388888888888886,143.61948955916472,19.02552204176334
DJ Mitchell,136,104,10,4,6,male,22.666666666666668,130.76923076923077,13.461538461538462
DJ Vilas,95,74,8,1,5,male,19.0,128.3783783783784,12.162162162162163
DJ Willey,287,221,17,14,15,male,19.133333333333333,129.86425339366517,14.027149321266968
DJ Worrall,0,1,0,0,5,male,0.0,0.0,0.0
DJM Short,156,129,20,2,9,male,17.333333333333332,120.93023255813952,17.05426356589147
DJS Dottin,405,306,46,16,15,female,27.0,132.35294117647058,20.26143790849673
DL Lloyd,6,7,0,1,2,male,3.0,85.71428571428571,14.285714285714285
DMW Rawlins,7,7,1,0,1,male,7.0,100.0,14.285714285714285
DN Wyatt,680,499,97,12,21,female,32.38095238095238,136.27254509018036,21.8436873747495
DP Conway,312,260,32,4,11,male,28.363636363636363,120.0,13.846153846153847
DR Briggs,40,24,5,1,11,male,3.6363636363636362,166.66666666666669,25.0
DR Gibson,300,196,45,6,14,female,21.428571428571427,153.0612244897959,26.02040816326531
DR Mousley,45,49,3,1,6,male,7.5,91.83673469387756,8.16326530612245
DR Sams,233,128,17,15,13,male,17.923076923076923,182.03125,25.0
DW Lawrence,286,199,21,13,12,male,23.833333333333332,143.71859296482413,17.08542713567839
DY Pennington,0,0,0,0,3,male,0.0,,
E Gray,21,19,1,1,13,female,1.6153846153846154,110.5263157894737,10.526315789473683
E Jones,415,389,52,4,18,female,23.055555555555557,106.68380462724936,14.395886889460154
E Threlkeld,77,78,6,0,16,female,4.8125,98.71794871794873,7.6923076923076925
E Windsor,18,23,2,0,11,female,1.6363636363636365,78.26086956521739,8.695652173913043
EA Burns,267,223,36,1,17,female,15.705882352941176,119.73094170403587,16.591928251121075
