Player Name,Balls Bowled,Runs Conceded,Wickets,Matches Played,Gender,Average,Economy,Strike Rate
A Campbell,0,0,0,8,female,0.0,,0.0
A Capsey,270,288,19,16,female,15.157894736842104,6.4,14.210526315789474
A Cranstone,0,0,0,1,female,0.0,,0.0
A Griffiths,145,203,6,13,female,33.833333333333336,8.4,24.166666666666668
A Hartley,315,408,15,17,female,27.2,7.77,21.0
A King,265,284,12,13,female,23.666666666666668,6.43,22.083333333333332
A Lyth,20,24,2,13,male,12.0,7.2,10.0
A Shrubsole,459,526,25,21,female,21.04,6.88,18.36
A Stonehouse,120,174,4,7,female,43.5,8.7,30.0
A Sutherland,92,130,4,6,female,32.5,8.48,23.0
A Wellington,445,503,35,20,female,14.371428571428572,6.78,12.714285714285714
A Zampa,130,159,10,7,male,15.9,7.34,13.0
AAP Atkinson,94,149,7,5,male,21.285714285714285,9.51,13.428571428571429
AC Kerr,210,267,19,11,female,14.052631578947368,7.63,11.052631578947368
AD Carr,0,0,0,6,female,0.0,,0.0
AD Hales,0,0,0,19,male,0.0,,0.0
AD Russell,75,137,4,6,male,34.25,10.96,18.75
AE Dyson,15,31,0,2,female,31.0,12.4,15.0
AE Jones,0,0,0,18,female,0.0,,0.0
AE Satterthwaite,0,0,0,4,female,0.0,,0.0
AF Milne,235,280,23,13,male,12.173913043478262,7.15,10.217391304347826
AH Maqsood,200,264,6,14,female,44.0,7.92,33.333333333333336
AJ Blake,0,0,0,3,male,0.0,,0.0
AJ Freeborn,0,0,0,17,female,0.0,,0.0
AJ Healy,0,0,0,6,female,0.0,,0.0
AJ Hose,0,0,0,15,male,0.0,,0.0
AJ Macleod,5,10,0,5,female,10.0,12.0,5.0
AJ Turner,20,31,2,12,male,15.5,9.3,10.0
AL Davies,0,0,0,15,male,0.0,,0.0
AM Rossington,0,0,0,16,male,0.0,,0.0
AN Davidson-Richards,358,545,24,19,female,22.708333333333332,9.13,14.916666666666666
AU Rashid,425,551,30,17,male,18.366666666666667,7.78,14.166666666666666
AZ Monaghan,0,0,0,11,female,0.0,,0.0
BA Carse,130,234,5,12,male,46.8,10.8,26.0
BA Langston,69,119,0,5,female,119.0,10.35,69.0
BA Raine,123,220,10,8,male,22.0,10.73,12.3
BA Stokes,30,33,3,2,male,11.0,6.6,10.0
BAC Howell,420,524,27,20,male,19.40740740740741,7.49,15.555555555555555
BAM Heath,0,0,0,18,female,0.0,,0.0
BC Cullen,120,207,10,7,male,20.7,10.35,12.0
